Title,Type,Service,Genre,IMDB,ReelGood,Released Year,Seasons
Family Guy,tv,Hulu,Comedy,8.1,82.0,1999,19.0
Family Guy,tv,Hulu,Animation,8.1,82.0,1999,19.0
One Piece,tv,Netflix,Anime,8.7,83.0,1999,22.0
One Piece,tv,Netflix,Action & Adventure,8.7,83.0,1999,22.0
One Piece,tv,Netflix,Animation,8.7,83.0,1999,22.0
One Piece,tv,Hulu,Anime,8.7,83.0,1999,22.0
One Piece,tv,Hulu,Action & Adventure,8.7,83.0,1999,22.0
One Piece,tv,Hulu,Animation,8.7,83.0,1999,22.0
Frasier,tv,Hulu,Comedy,8.0,83.0,1993,11.0
Hunter x Hunter,tv,Netflix,Anime,8.9,83.0,2011,6.0
Hunter x Hunter,tv,Netflix,Action & Adventure,8.9,83.0,2011,6.0
Hunter x Hunter,tv,Netflix,Animation,8.9,83.0,2011,6.0
Hunter x Hunter,tv,Hulu,Anime,8.9,83.0,2011,6.0
Hunter x Hunter,tv,Hulu,Action & Adventure,8.9,83.0,2011,6.0
Hunter x Hunter,tv,Hulu,Animation,8.9,83.0,2011,6.0
Altered Carbon,tv,Netflix,Action & Adventure,8.0,84.0,2018,2.0
Altered Carbon,tv,Netflix,Science-Fiction,8.0,84.0,2018,2.0
Altered Carbon,tv,Netflix,Mystery,8.0,84.0,2018,2.0
One-Punch Man,tv,Netflix,Anime,8.8,83.0,2015,2.0
One-Punch Man,tv,Netflix,Action & Adventure,8.8,83.0,2015,2.0
One-Punch Man,tv,Netflix,Animation,8.8,83.0,2015,2.0
One-Punch Man,tv,Hulu,Anime,8.8,83.0,2015,2.0
One-Punch Man,tv,Hulu,Action & Adventure,8.8,83.0,2015,2.0
One-Punch Man,tv,Hulu,Animation,8.8,83.0,2015,2.0
Gilmore Girls,tv,Netflix,Drama,8.1,83.0,2000,8.0
Gilmore Girls,tv,Netflix,Comedy,8.1,83.0,2000,8.0
Bones,tv,Hulu,Crime,7.8,83.0,2005,12.0
Bones,tv,Hulu,Comedy,7.8,83.0,2005,12.0
Bones,tv,Hulu,Mystery,7.8,83.0,2005,12.0
Elementary,tv,Hulu,Crime,7.9,84.0,2012,7.0
Elementary,tv,Hulu,Drama,7.9,84.0,2012,7.0
Elementary,tv,Hulu,Mystery,7.9,84.0,2012,7.0
Our Planet,tv,Netflix,Documentary,9.3,84.0,2019,1.0
Making a Murderer,tv,Netflix,Crime,8.6,84.0,2015,2.0
Making a Murderer,tv,Netflix,Documentary,8.6,84.0,2015,2.0
Star Wars: The Clone Wars,tv,Disney+,Action & Adventure,8.2,83.0,2008,7.0
Star Wars: The Clone Wars,tv,Disney+,Science-Fiction,8.2,83.0,2008,7.0
Star Wars: The Clone Wars,tv,Disney+,Animation,8.2,83.0,2008,7.0
Star Wars: The Clone Wars,tv,Disney+,Children,8.2,83.0,2008,7.0
Misfits,tv,Hulu,Drama,8.2,83.0,2009,5.0
